一字千秋	yi1zi4qian1qiu1
一字千金	yi1zi4qian1jin1
一字千钧	yi1zi4qian1jun1
一字师	yi1zi4shi1
一字褒贬	yi1zi4bao1bian3
一字连城	yi1zi4lian2cheng2
一字长城	yi1zi4chang2cheng2
一字长蛇阵	yi1zi4chang2she2zhen4
一官半职	yi1guan1ban4zhi2
一定不易	yi1ding4bu4yi4
一定不移	yi1ding4bu4yi2
一定之规	yi1ding4zhi1gui1
一客不烦二主	yi1ke4bu4fan2er4zhu3
一室生春	yi1shi4sheng1chun1
一家一火	yi1jia1yi1huo3
一家一计	yi1jia1yi1ji4
一家之主	yi1jia1zhi1zhu3
一家之作	yi1jia1zhi1zuo4
一家之学	yi1jia1zhi1xue2
一家之言	yi1jia1zhi1yan2
一家之计	yi1jia1zhi1ji4
一家之辞	yi1jia1zhi1ci2
一家之长	yi1jia1zhi1zhang3
一家无二	yi1jia1wu2er4
一家眷属	yi1jia1juan4shu3
一家老小	yi1jia1lao3xiao3
一寒如此	yi1han2ru2ci3
一寸丹心	yi1cun4dan1xin1
一寸光阴一寸金	yi1cun4guang1yin1yi1cun4jin1
一寸赤心	yi1cun4chi4xin1
一射之地	yi1she4zhi1di4
一小撮	yi1xiao3cuo1
一尘不到	yi1chen2bu4dao4
一尘不染	yi1chen2bu4ran3
一尘不缁	yi1chen2bu4zi1
一尺水十丈波	yi1chi3shui3shi2zhang4bo1
一尺水翻腾做一丈波	yi1chi3shui3fan1teng2zuo4yi1zhang4bo1
一尺水翻腾做百丈波	yi1chi3shui3fan1teng2zuo4bai3zhang4bo1
一山不藏二虎	yi1shan1bu4cang2er4hu3
一岁三迁	yi1sui4san1qian1
一岁九迁	yi1sui4jiu3qian1
一岁再赦	yi1sui4zai4she4
一岁载赦	yi1sui4zai4she4
一差两讹	yi1cha4liang3e2
一差二悮	yi1cha4er4wu4
一己之私	yi1ji3zhi1si1
一己之见	yi1ji3zhi1jian4
一帆顺风	yi1fan1shun4feng1
一帆风顺	yi1fan1feng1shun4
一席之地	yi1xi2zhi1di4
一干二净	yi1gan1er4jing4
一干人犯	yi1gan1ren2fan4
一年一度	yi1nian2yi1du4
一年之计在于春	yi1nian2zhi1ji4zai4yu2chun1
一年到头	yi1nian2dao4tou2
一年半载	yi1nian2ban4zai3
一床两好	yi1chuang2liang3hao3
一床锦被遮盖	yi1chuang2jin3bei4zhe1gai4
一应俱全	yi1ying1ju4quan2
一座皆惊	yi1zuo4jie1jing1
一廉如水	yi1lian2ru2shui3
一式一样	yi1shi4yi1yang4
一弹指顷	yi1tan2zhi3qing3
一彻万融	yi1che4wan4rong2
一往情深	yi1wang3qing2shen1
一往无前	yi1wang3wu2qian2
一往直前	yi1wang3zhi2qian2
一往而深	yi1wang3er2shen1
一得之功	yi1de2zhi1gong1
一得之愚	yi1de2zhi1yu2
一得之见	yi1de2zhi1jian4
一德一心	yi1de2yi1xin1
一心一力	yi1xin1yi1li4
一心一德	yi1xin1yi1de2
一心一意	yi1xin1yi1yi4
一心一腹	yi1xin1yi1fu4
一心一计	yi1xin1yi1ji4
一心一路	yi1xin1yi1lu4
一心为公	yi1xin1wei2gong1
一心同体	yi1xin1tong2ti3
一心同功	yi1xin1tong2gong1
一心同归	yi1xin1tong2gui1
一心无二	yi1xin1wu2er4
一念之差	yi1nian4zhi1cha1
一念之误	yi1nian4zhi1wu4
一悲一喜	yi1bei1yi1xi3
一意孤行	yi1yi4gu1xing2
一成一旅	yi1cheng2yi1lv3
一成不变	yi1cheng2bu4bian4
一成不易	yi1cheng2bu4yi4
一手一脚	yi1shou3yi1jiao3
一手一足	yi1shou3yi1zu2
一手包办	yi1shou3bao1ban4
一手包揽	yi1shou3bao1lan3
一手托天	yi1shou3tuo1tian1
一手遮天	yi1shou3zhe1tian1
一扫而光	yi1sao3er2guang1
一扫而空	yi1sao3er2kong1
一技之长	yi1ji4zhi1chang2
一把死拿	yi1ba3si3na2
一抔黄土	yi1pou2huang2tu3
一报还一报	yi1bao4huan2yi1bao4
一拍即合	yi1pai1ji2he2
一拥而入	yi1yong1er2ru4
一挥九制	yi1hui1jiu3zhi4
一挥而就	yi1hui1er2jiu4
一挥而成	yi1hui1er2cheng2
一掊土	yi1pou2tu3
一接如旧	yi1jie1ru2jiu4
一推两搡	yi1tui1liang3sang3
一掷乾坤	yi1zhi4qian2kun1
一掷千金	yi1zhi4qian1jin1
一揽包收	yi1lan3bao1shou1
一搭一档	yi1da1yi1dang4
一搭两用	yi1da1liang3yong4
一支半节	yi1zhi1ban4jie2
一改故辙	yi1gai3gu4zhe2
一文不值	yi1wen2bu4zhi2
一文不名	yi1wen2bu4ming2
一文如命	yi1wen2ru2ming4
一文钱难倒英雄汉	yi1wen2qian2nan2dao3ying1xiong2han4
一斑半点	yi1ban1ban4dian3
一斑窥豹	yi1ban1kui1bao4
一方之任	yi1fang1zhi1ren4
一无可取	yi1wu2ke3qu3
一无所取	yi1wu2suo3qu3
一无所好	yi1wu2suo3hao4
一无所得	yi1wu2suo3de2
一无所成	yi1wu2suo3cheng2
一无所有	yi1wu2suo3you3
一无所求	yi1wu2suo3qiu2
一无所知	yi1wu2suo3zhi1
一无所能	yi1wu2suo3neng2
一无所获	yi1wu2suo3huo4
一无所长	yi1wu2suo3chang2
一无所闻	yi1wu2suo3wen2
一无是处	yi1wu2shi4chu4
一日万几	yi1ri4wan4ji3
一日万机	yi1ri4wan4ji1
一日万里	yi1ri4wan4li3
一日三复	yi1ri4san1fu4
一日三岁	yi1ri4san1sui4
一日三月	yi1ri4san1yue4
一日三省	yi1ri4san1xing3
一日三秋	yi1ri4san1qiu1
一日三覆	yi1ri4san1fu4
一日之长	yi1ri4zhi1chang2
一日之雅	yi1ri4zhi1ya3
一日九迁	yi1ri4jiu3qian1
一日千丈	yi1ri4qian1zhang4
一日千里	yi1ri4qian1li3
一旦一夕	yi1dan4yi1xi1
一时三刻	yi1shi2san1ke4
一时之权	yi1shi2zhi1quan2
一时之秀	yi1shi2zhi1xiu4
一时之选	yi1shi2zhi1xuan3
一时伯仲	yi1shi2bo2zhong4
一时千载	yi1shi2qian1zai3
一时半刻	yi1shi2ban4ke4
一时半晌	yi1shi2ban4shang3
一时半霎	yi1shi2ban4sha4
一时戏言	yi1shi2xi4yan2
一星半点	yi1xing1ban4dian3
一晦一明	yi1hui4yi1ming2
一暝不视	yi1ming2bu4shi4
一暴十寒	yi1pu4shi2han2
一曝十寒	yi1pu4shi2han2
一曲阳关	yi1qu3yang2guan1
一望无垠	yi1wang4wu2yin2
一望无涯	yi1wang4wu2ya2
一望无边	yi1wang4wu2bian1
一望无际	yi1wang4wu2ji4
